sid,stid,name,ord,mh,fh
6904,23,wept-pl,5,0,0
6904,23,wept-pl,6,1,0
6904,23,wept-pl,7,0,0
6904,23,wept-pl,8,1,0
6904,23,wept-pl,9,0,0
6904,23,wept-pl,10,0,0
6904,23,wept-pl,11,0,0
6904,23,wept-pl,12,0,0
6904,23,wept-pl,13,0,0
6904,23,wept-pl,14,0,0
6905,23,wept-pl,0,3,0
6905,23,wept-pl,1,0,0
6905,23,wept-pl,2,0,0
6905,23,wept-pl,3,0,0
6905,23,wept-pl,4,0,0
6905,23,wept-pl,5,0,0
6905,23,wept-pl,6,0,0
6905,23,wept-pl,7,1,0
6905,23,wept-pl,8,0,0
6905,23,wept-pl,9,0,0
6905,23,wept-pl,10,1,0
6906,23,wept-pl,0,1,0
6906,23,wept-pl,1,1,0
6906,23,wept-pl,2,0,0
6906,23,wept-pl,3,1,0
6906,23,wept-pl,4,2,0
6906,23,wept-pl,5,0,0
6906,23,wept-pl,6,1,0
6906,23,wept-pl,7,1,0
6906,23,wept-pl,8,4,0
6906,23,wept-pl,9,2,0
6906,23,wept-pl,10,3,0
6906,23,wept-pl,11,0,0
6906,23,wept-pl,12,1,0
6906,23,wept-pl,13,2,0
6906,23,wept-pl,14,2,0
6907,23,wept-pl,0,0,0
6907,23,wept-pl,1,0,0
6908,23,wept-pl,0,0,0
6908,23,wept-pl,1,1,0
6910,23,wept-pl,0,1,0
6910,23,wept-pl,1,2,0
6910,23,wept-pl,2,0,0
6910,23,wept-pl,3,0,0
6910,23,wept-pl,4,0,0
6910,23,wept-pl,5,0,0
6910,23,wept-pl,6,0,0
6910,23,wept-pl,7,0,0
6910,23,wept-pl,8,0,1
6910,23,wept-pl,9,0,0
6910,23,wept-pl,10,0,0
6910,23,wept-pl,11,1,0
6911,23,wept-pl,0,0,0
6911,23,wept-pl,1,1,0
6911,23,wept-pl,2,0,0
6911,23,wept-pl,3,0,0
6911,23,wept-pl,4,0,0
6911,23,wept-pl,5,0,0
6913,23,wept-pl,0,0,0
6914,23,wept-pl,0,0,0
6914,23,wept-pl,1,0,0
6914,23,wept-pl,2,0,0
6914,23,wept-pl,3,0,0
6914,23,wept-pl,4,1,0
6914,23,wept-pl,5,0,0
6914,23,wept-pl,6,0,0
6914,23,wept-pl,7,0,0
6914,23,wept-pl,8,0,0
6914,23,wept-pl,9,0,0
6915,23,wept-pl,0,2,0
6915,23,wept-pl,1,1,0
6915,23,wept-pl,2,2,0
6915,23,wept-pl,3,0,0
6916,23,wept-pl,0,0,0
6916,23,wept-pl,1,0,0
6916,23,wept-pl,2,0,0
6916,23,wept-pl,3,0,0
6917,23,wept-pl,0,1,1
6917,23,wept-pl,1,0,0
6917,23,wept-pl,2,1,0
6917,23,wept-pl,3,0,0
6917,23,wept-pl,4,0,0
6917,23,wept-pl,5,0,0
6917,23,wept-pl,6,0,0
6917,23,wept-pl,7,0,0
6917,23,wept-pl,8,0,0
6917,23,wept-pl,9,0,0
6917,23,wept-pl,10,0,0
6917,23,wept-pl,11,0,0
6917,23,wept-pl,12,0,0
6917,23,wept-pl,13,0,0
6917,23,wept-pl,14,0,0
6918,23,wept-pl,0,1,0
6918,23,wept-pl,1,0,0
6918,23,wept-pl,2,0,0
6918,23,wept-pl,3,1,0
6918,23,wept-pl,4,1,0
6918,23,wept-pl,5,0,0
6918,23,wept-pl,6,1,0
6918,23,wept-pl,7,0,0
6918,23,wept-pl,8,0,0
6918,23,wept-pl,9,0,0
6918,23,wept-pl,10,0,0
6918,23,wept-pl,11,1,0
6918,23,wept-pl,12,2,0
6918,23,wept-pl,13,0,0
6918,23,wept-pl,14,2,1
6919,23,wept-pl,0,0,0
6919,23,wept-pl,1,0,0
6919,23,wept-pl,2,0,0
6919,23,wept-pl,3,0,0
6919,23,wept-pl,4,0,0
6919,23,wept-pl,5,2,0
6919,23,wept-pl,6,3,0
6919,23,wept-pl,7,0,0
6919,23,wept-pl,8,0,0
6919,23,wept-pl,9,0,0
6919,23,wept-pl,10,0,0
6919,23,wept-pl,11,0,0
6919,23,wept-pl,12,0,0
6919,23,wept-pl,13,0,0
6919,23,wept-pl,14,1,0
6922,23,wept-pl,0,0,0
6922,23,wept-pl,1,0,0
6922,23,wept-pl,2,0,0
6924,23,wept-pl,0,0,0
6924,23,wept-pl,1,1,0
6924,23,wept-pl,2,0,0
6924,23,wept-pl,3,1,0
6924,23,wept-pl,4,2,0
6924,23,wept-pl,5,1,0
6924,23,wept-pl,6,0,0
6924,23,wept-pl,7,0,0
6924,23,wept-pl,8,1,0
6924,23,wept-pl,9,0,0
6924,23,wept-pl,10,0,0
6924,23,wept-pl,11,0,1
6924,23,wept-pl,12,0,0
6924,23,wept-pl,13,0,0
6924,23,wept-pl,14,0,0
6925,23,wept-pl,0,2,3
6925,23,wept-pl,1,1,1
6925,23,wept-pl,2,3,3
6927,23,wept-pl,0,1,0
6927,23,wept-pl,1,1,0
6928,23,wept-pl,0,0,0
6928,23,wept-pl,1,0,0
6928,23,wept-pl,2,0,0
6928,23,wept-pl,3,0,0
6928,23,wept-pl,4,0,0
6928,23,wept-pl,5,0,0
6928,23,wept-pl,6,0,0
6928,23,wept-pl,7,0,0
6928,23,wept-pl,8,0,0
6928,23,wept-pl,9,0,1
6928,23,wept-pl,10,0,0
6928,23,wept-pl,11,0,0
6928,23,wept-pl,12,0,0
6928,23,wept-pl,13,0,0
6928,23,wept-pl,14,0,0
6929,23,wept-pl,0,1,0
6929,23,wept-pl,1,2,0
6929,23,wept-pl,2,0,0
6929,23,wept-pl,3,0,0
6929,23,wept-pl,4,1,0
6929,23,wept-pl,5,0,0
6929,23,wept-pl,6,0,1
6930,23,wept-pl,0,2,0
6930,23,wept-pl,1,3,0
6930,23,wept-pl,2,1,0
6930,23,wept-pl,3,0,0
6931,23,wept-pl,0,1,0
6931,23,wept-pl,1,0,0
6931,23,wept-pl,2,0,0
6931,23,wept-pl,3,0,0
6932,23,wept-pl,0,0,0
6932,23,wept-pl,1,0,0
6932,23,wept-pl,2,0,0
6932,23,wept-pl,3,0,0
6932,23,wept-pl,4,0,0
6932,23,wept-pl,5,0,0
6932,23,wept-pl,6,0,0
6932,23,wept-pl,7,0,0
6932,23,wept-pl,8,0,0
6932,23,wept-pl,9,1,0
6933,23,wept-pl,0,0,0
6933,23,wept-pl,1,0,0
6933,23,wept-pl,2,0,0
6933,23,wept-pl,3,0,0
6933,23,wept-pl,4,0,1
6933,23,wept-pl,5,0,0
6933,23,wept-pl,6,0,0
6933,23,wept-pl,7,0,0
6933,23,wept-pl,8,0,0
6933,23,wept-pl,9,0,0
6933,23,wept-pl,10,0,0
6933,23,wept-pl,11,0,0
6933,23,wept-pl,12,0,0
6933,23,wept-pl,13,0,0
6933,23,wept-pl,14,0,0
6934,23,wept-pl,0,0,0
6934,23,wept-pl,1,2,0
6934,23,wept-pl,2,0,0
6935,23,wept-pl,0,2,0
6935,23,wept-pl,1,1,0
6937,23,wept-pl,0,0,0
6937,23,wept-pl,1,0,0
6937,23,wept-pl,2,0,0
6937,23,wept-pl,3,1,0
6937,23,wept-pl,4,1,0
6937,23,wept-pl,5,0,0
6937,23,wept-pl,6,1,0
6937,23,wept-pl,7,0,0
6937,23,wept-pl,8,0,0
6937,23,wept-pl,9,0,0
6937,23,wept-pl,10,1,0
6937,23,wept-pl,11,0,0
6937,23,wept-pl,12,0,0
6937,23,wept-pl,13,0,0
6937,23,wept-pl,14,3,0
6938,23,wept-pl,0,1,0
6938,23,wept-pl,1,2,0
6938,23,wept-pl,2,0,0
6938,23,wept-pl,3,1,0
6938,23,wept-pl,4,1,0
6938,23,wept-pl,5,0,0
6939,23,wept-pl,0,0,0
6939,23,wept-pl,1,0,0
6939,23,wept-pl,2,0,0
6939,23,wept-pl,3,0,0
6939,23,wept-pl,4,0,0
6939,23,wept-pl,5,0,0
6939,23,wept-pl,6,0,0
6939,23,wept-pl,7,0,0
6939,23,wept-pl,8,0,0
6940,23,wept-pl,0,0,0
6940,23,wept-pl,1,2,0
6940,23,wept-pl,2,2,0
6940,23,wept-pl,3,2,0
6940,23,wept-pl,4,4,0
6940,23,wept-pl,5,5,0
6940,23,wept-pl,6,3,0
6940,23,wept-pl,7,3,0
6940,23,wept-pl,8,3,0
6940,23,wept-pl,9,3,0
6940,23,wept-pl,10,4,0
6940,23,wept-pl,11,3,0
6940,23,wept-pl,12,1,0
6940,23,wept-pl,13,0,0
6940,23,wept-pl,14,1,0
6950,23,wept-pl,0,1,0
6950,23,wept-pl,1,0,0
6950,23,wept-pl,2,1,0
6950,23,wept-pl,3,1,0
6950,23,wept-pl,4,0,0
6950,23,wept-pl,5,1,0
6950,23,wept-pl,6,3,0
6951,23,wept-pl,0,1,0
6951,23,wept-pl,1,1,0
6951,23,wept-pl,2,1,0
6951,23,wept-pl,3,1,0
6951,23,wept-pl,4,1,0
