  sid  | stid |   name    |  reading   | evaluation 
  7413 |   23 | rateus-pl |   13429.56 |      27359
  7414 |   23 | rateus-pl |   15277.44 |      29571
  7415 |   23 | rateus-pl |   12038.78 |      35262
  7416 |   23 | rateus-pl |    8880.78 |      17881
  7417 |   23 | rateus-pl |   74150.22 |       6429
  7418 |   23 | rateus-pl |   22407.44 |      21505
  7420 |   23 | rateus-pl |   13457.44 |      15571
  7421 |   23 | rateus-pl |   14447.22 |      27361
  7424 |   23 | rateus-pl |   13800.00 |      16750
  7425 |   23 | rateus-pl |   14175.89 |      39250
  7426 |   23 | rateus-pl |   11498.44 |      47964
  7427 |   23 | rateus-pl |   14974.22 |      13518
  7429 |   23 | rateus-pl |     747.44 |      10627
  7430 |   23 | rateus-pl |    7029.89 |      27231
  7433 |   23 | rateus-pl |    5368.11 |      13341
  7434 |   23 | rateus-pl |   23054.11 |      41859
  7435 |   23 | rateus-pl |   13555.44 |      21377
  7436 |   23 | rateus-pl |   10082.22 |      13936
  7437 |   23 | rateus-pl |   65156.89 |      38501
  7438 |   23 | rateus-pl |   18355.67 |      26762
  7439 |   23 | rateus-pl |   16831.22 |      17409
  7440 |   23 | rateus-pl |   31611.33 |      95777
  7441 |   23 | rateus-pl |    1460.33 |      22501
  7442 |   23 | rateus-pl |   26661.33 |      75942
  7443 |   23 | rateus-pl |   11772.11 |      44127
  7444 |   23 | rateus-pl |   53120.11 |      21894
  7445 |   23 | rateus-pl |   13506.33 |      17005
  7446 |   23 | rateus-pl |   44879.00 |      46664
  7447 |   23 | rateus-pl |   10811.78 |      17901
  7448 |   23 | rateus-pl |    1117.89 |      14856
  7449 |   23 | rateus-pl |   10890.11 |      16940
  7450 |   23 | rateus-pl |   12745.78 |      47851
  7451 |   23 | rateus-pl |   10579.44 |      38575
  7452 |   23 | rateus-pl |   10800.22 |      28615
  7454 |   23 | rateus-pl |   22903.56 |     164723
  7455 |   23 | rateus-pl |   11490.00 |      95810
  7458 |   23 | rateus-pl |   13492.11 |      16170
  7459 |   23 | rateus-pl |   25935.44 |      15665
  7460 |   23 | rateus-pl |   12859.67 |      21527
  7461 |   23 | rateus-pl |   13614.89 |      67644
  7462 |   23 | rateus-pl |   11314.22 |      27260
  7464 |   23 | rateus-pl |   62439.22 |      58852
  7467 |   23 | rateus-pl |    9846.22 |      21818
  7468 |   23 | rateus-pl |   22167.00 |      33090
  7469 |   23 | rateus-pl |   21472.89 |      38479
  7470 |   23 | rateus-pl |   24053.33 |     121501
  7471 |   23 | rateus-pl |   15905.00 |      23288
  7472 |   23 | rateus-pl |   45222.67 |      40649
  7473 |   23 | rateus-pl |   14455.89 |      46956
  7474 |   23 | rateus-pl |   10799.67 |      20123
  7475 |   23 | rateus-pl |   21889.89 |      44061
  7479 |   23 | rateus-pl |   14095.56 |      48204
  7480 |   23 | rateus-pl |   64460.44 |      12847
  7481 |   23 | rateus-pl |   12204.00 |      22049
  7482 |   23 | rateus-pl |    7789.00 |      14978
  7486 |   23 | rateus-pl |   11895.56 |      16168
  7488 |   23 | rateus-pl |   16621.56 |      69060
  7490 |   23 | rateus-pl |   12614.22 |      20113
  7492 |   23 | rateus-pl |   29191.22 |     105005
  7493 |   23 | rateus-pl |    7599.11 |      21004
  7494 |   23 | rateus-pl |   68186.78 |      18760
  7496 |   23 | rateus-pl |    9158.11 |      12850
  7497 |   23 | rateus-pl |    9220.56 |      45234
  7498 |   23 | rateus-pl |   11046.56 |      22155
  7499 |   23 | rateus-pl |   21283.56 |      16491
  7501 |   23 | rateus-pl |   14266.11 |      26172
  7502 |   23 | rateus-pl |   10821.44 |      55803
  7503 |   23 | rateus-pl |   16807.44 |      62816
  7504 |   23 | rateus-pl |   10324.67 |      28399
  7506 |   23 | rateus-pl |   11388.89 |      94760
  7507 |   23 | rateus-pl |   13843.33 |      33563
  7509 |   23 | rateus-pl |   11313.56 |      33548
  7512 |   23 | rateus-pl |   11226.67 |      32211
  7513 |   23 | rateus-pl |    9838.56 |      33143
  7514 |   23 | rateus-pl |   33767.67 |      29625
  7515 |   23 | rateus-pl |   10273.33 |      16706
  7516 |   23 | rateus-pl |   13528.44 |      19841
  7519 |   23 | rateus-pl |    3555.89 |      15630
  7520 |   23 | rateus-pl |   18975.78 |      22903
  7521 |   23 | rateus-pl |   10300.78 |      16942
  7522 |   23 | rateus-pl |   20540.44 |      40945
  7523 |   23 | rateus-pl |    1104.89 |      14236
  7526 |   23 | rateus-pl |     773.89 |      15198
  7531 |   23 | rateus-pl |    6298.00 |      43263
  7532 |   23 | rateus-pl |   12364.89 |      34183
  7533 |   23 | rateus-pl |    9479.67 |      31591
  7535 |   23 | rateus-pl |   15457.00 |      40444
  7539 |   23 | rateus-pl |    8856.89 |      25322
  7540 |   23 | rateus-pl |   13272.33 |      19851
  7541 |   23 | rateus-pl |   11252.78 |      33858
  7542 |   23 | rateus-pl |   10593.22 |      96454
  7545 |   23 | rateus-pl |   10381.33 |      27437
  7546 |   23 | rateus-pl |   10777.44 |       6626
  7547 |   23 | rateus-pl |    4913.89 |      27691
  7548 |   23 | rateus-pl |    7979.89 |      20964
  7549 |   23 | rateus-pl |    9337.67 |      17058
  7550 |   23 | rateus-pl |   11103.11 |      32049
  7552 |   23 | rateus-pl |   12457.56 |      17916
  7553 |   23 | rateus-pl |   12906.89 |      19889
  7554 |   23 | rateus-pl |   16183.22 |      44974
  7556 |   23 | rateus-pl |   10156.33 |      25382
  7559 |   23 | rateus-pl |    3476.00 |      20165
  7560 |   23 | rateus-pl |   14090.00 |      22919
  7563 |   23 | rateus-pl |   11349.33 |      23315
  7567 |   23 | rateus-pl |    5812.56 |      38443
  7571 |   23 | rateus-pl |   16040.89 |      39305
  7573 |   23 | rateus-pl |   13802.89 |      53431
  7575 |   23 | rateus-pl |   16168.00 |      18170
