sid,stid,name,ord,val
6931,23,demo-2-pl,3,2
6931,23,demo-2-pl,4,4
6931,23,demo-2-pl,6,0
6931,23,demo-2-pl,7,1
6931,23,demo-2-pl,8,0
6931,23,demo-2-pl,9,5
6932,23,demo-2-pl,0,0
6932,23,demo-2-pl,2,2003
6932,23,demo-2-pl,3,0
6932,23,demo-2-pl,4,4
6932,23,demo-2-pl,6,1
6932,23,demo-2-pl,7,2
6932,23,demo-2-pl,8,0
6932,23,demo-2-pl,9,5
6933,23,demo-2-pl,0,0
6933,23,demo-2-pl,2,1999
6933,23,demo-2-pl,3,0
6933,23,demo-2-pl,4,4
6933,23,demo-2-pl,6,1
6933,23,demo-2-pl,7,1
6933,23,demo-2-pl,8,0
6933,23,demo-2-pl,9,4
6934,23,demo-2-pl,0,0
6934,23,demo-2-pl,2,1973
6934,23,demo-2-pl,3,3
6934,23,demo-2-pl,4,4
6934,23,demo-2-pl,6,0
6934,23,demo-2-pl,7,3
6934,23,demo-2-pl,8,2
6934,23,demo-2-pl,9,1
6935,23,demo-2-pl,0,0
6935,23,demo-2-pl,2,1994
6935,23,demo-2-pl,3,2
6935,23,demo-2-pl,4,5
6935,23,demo-2-pl,6,1
6935,23,demo-2-pl,7,0
6935,23,demo-2-pl,8,1
6935,23,demo-2-pl,9,4
6937,23,demo-2-pl,0,0
6937,23,demo-2-pl,2,2005
6937,23,demo-2-pl,3,0
6937,23,demo-2-pl,4,6
6937,23,demo-2-pl,6,0
6937,23,demo-2-pl,7,0
6937,23,demo-2-pl,8,0
6937,23,demo-2-pl,9,4
6938,23,demo-2-pl,0,1
6938,23,demo-2-pl,2,2000
6938,23,demo-2-pl,3,0
6938,23,demo-2-pl,4,4
6938,23,demo-2-pl,6,1
6938,23,demo-2-pl,7,0
6938,23,demo-2-pl,8,0
6938,23,demo-2-pl,9,4
6939,23,demo-2-pl,0,1
6939,23,demo-2-pl,2,1970
6939,23,demo-2-pl,3,0
6939,23,demo-2-pl,4,4
6939,23,demo-2-pl,6,0
6939,23,demo-2-pl,7,1
6939,23,demo-2-pl,8,1
6939,23,demo-2-pl,9,4
6940,23,demo-2-pl,0,1
6940,23,demo-2-pl,2,1982
6940,23,demo-2-pl,3,2
6940,23,demo-2-pl,4,3
6940,23,demo-2-pl,6,0
6940,23,demo-2-pl,7,2
6940,23,demo-2-pl,8,1
6940,23,demo-2-pl,9,3
6950,23,demo-2-pl,0,0
6950,23,demo-2-pl,2,1975
6950,23,demo-2-pl,3,3
6950,23,demo-2-pl,4,6
6950,23,demo-2-pl,6,0
6950,23,demo-2-pl,7,1
6950,23,demo-2-pl,8,0
6950,23,demo-2-pl,9,4
6951,23,demo-2-pl,0,0
6951,23,demo-2-pl,2,1992
6951,23,demo-2-pl,3,1
6951,23,demo-2-pl,4,5
6951,23,demo-2-pl,6,0
6951,23,demo-2-pl,7,1
6951,23,demo-2-pl,8,0
6951,23,demo-2-pl,9,2
6953,23,demo-2-pl,0,1
6953,23,demo-2-pl,2,1992
6953,23,demo-2-pl,3,2
6953,23,demo-2-pl,4,2
6953,23,demo-2-pl,6,1
6953,23,demo-2-pl,7,1
6953,23,demo-2-pl,8,1
6953,23,demo-2-pl,9,2
6954,23,demo-2-pl,0,0
6954,23,demo-2-pl,2,2003
6954,23,demo-2-pl,3,3
6954,23,demo-2-pl,4,4
6954,23,demo-2-pl,6,1
6954,23,demo-2-pl,7,1
6954,23,demo-2-pl,8,0
6954,23,demo-2-pl,9,4
6955,23,demo-2-pl,0,0
6955,23,demo-2-pl,2,1992
6955,23,demo-2-pl,3,4
6955,23,demo-2-pl,4,6
6955,23,demo-2-pl,6,0
6955,23,demo-2-pl,7,0
6955,23,demo-2-pl,8,0
6955,23,demo-2-pl,9,5
6956,23,demo-2-pl,0,1
6956,23,demo-2-pl,2,1983
6956,23,demo-2-pl,3,2
6956,23,demo-2-pl,4,4
