  sid  | stid | category 
  7548 |   23 | NEU
  7549 |   23 | HOP
  7550 |   23 | ANG
  7552 |   23 | COM
  7553 |   23 | HOP
  7554 |   23 | NEU
  7556 |   23 | ANG
  7559 |   23 | COM
  7560 |   23 | HOP
  7563 |   23 | NEU
  7567 |   23 | ANG
  7571 |   23 | NEU
  7573 |   23 | COM
  7575 |   23 | HOP
  7576 |   23 | NEU
  7579 |   23 | ANG
  7580 |   23 | COM
  7582 |   23 | COM
  7583 |   23 | HOP
  7584 |   23 | HOP
  7586 |   23 | ANG
  7587 |   23 | NEU
  7588 |   23 | ANG
  7594 |   23 | HOP
  7595 |   23 | NEU
  7596 |   23 | ANG
  7597 |   23 | COM
  7598 |   23 | HOP
  7600 |   23 | NEU
  7602 |   23 | ANG
  7604 |   23 | COM
  7605 |   23 | HOP
  7606 |   23 | ANG
  7607 |   23 | HOP
  7608 |   23 | COM
  7609 |   23 | NEU
  7610 |   23 | ANG
  7611 |   23 | COM
  7612 |   23 | HOP
  7613 |   23 | NEU
  7614 |   23 | ANG
  7616 |   23 | COM
  7617 |   23 | HOP
  7623 |   23 | ANG
  7624 |   23 | COM
  7625 |   23 | NEU
  7627 |   23 | HOP
  7631 |   23 | ANG
  7638 |   23 | HOP
  7639 |   23 | HOP
  7640 |   23 | NEU
  7643 |   23 | ANG
  7647 |   23 | COM
  7651 |   23 | NEU
  7654 |   23 | ANG
  7655 |   23 | COM
  7659 |   23 | HOP
  7660 |   23 | NEU
  7666 |   23 | ANG
  7670 |   23 | COM
  7671 |   23 | HOP
  7674 |   23 | NEU
  7678 |   23 | ANG
  7679 |   23 | COM
  7680 |   23 | HOP
  7682 |   23 | NEU
  7687 |   23 | ANG
  7688 |   23 | COM
  7695 |   23 | HOP
  7700 |   23 | NEU
  7701 |   23 | ANG
  7702 |   23 | COM
  7703 |   23 | COM
  7715 |   23 | HOP
  7717 |   23 | NEU
  7718 |   23 | NEU
  7726 |   23 | HOP
  7727 |   23 | ANG
  7733 |   23 | HOP
  7740 |   23 | NEU
  7741 |   23 | ANG
  7744 |   23 | COM
  7755 |   23 | HOP
  7764 |   23 | NEU
  7765 |   23 | ANG
  7768 |   23 | COM
  7772 |   23 | HOP
  7782 |   23 | ANG
  7787 |   23 | HOP
  7788 |   23 | COM
  7791 |   23 | NEU
  7795 |   23 | ANG
  7798 |   23 | COM
  7810 |   23 | NEU
  7813 |   23 | ANG
  7816 |   23 | COM
  7819 |   23 | HOP
  7824 |   23 | NEU
  7842 |   23 | ANG
  7849 |   23 | COM
  7850 |   23 | HOP
  7851 |   23 | NEU
  7860 |   23 | ANG
  7861 |   23 | COM
  7877 |   23 | HOP
  7880 |   23 | NEU
  7891 |   23 | ANG
  7893 |   23 | COM
  7897 |   23 | HOP
  7903 |   23 | NEU
  7908 |   23 | ANG
  7910 |   23 | COM
  7914 |   23 | HOP
  7918 |   23 | NEU
  7919 |   23 | ANG
  7922 |   23 | COM
  7924 |   23 | ANG
