sid,stid,name,ord,opt
7066,23,donation-aim-pl,0,1
7066,23,donation-aim-pl,1,0
7067,23,donation-aim-pl,0,0
7067,23,donation-aim-pl,1,2
7068,23,donation-aim-pl,0,2
7068,23,donation-aim-pl,1,2
7069,23,donation-aim-pl,0,0
7069,23,donation-aim-pl,1,2
7070,23,donation-aim-pl,0,0
7070,23,donation-aim-pl,1,0
7072,23,donation-aim-pl,0,2
7072,23,donation-aim-pl,1,1
7073,23,donation-aim-pl,0,0
7073,23,donation-aim-pl,1,1
7074,23,donation-aim-pl,0,1
7074,23,donation-aim-pl,1,1
7075,23,donation-aim-pl,0,1
7075,23,donation-aim-pl,1,2
7076,23,donation-aim-pl,0,1
7076,23,donation-aim-pl,1,1
7077,23,donation-aim-pl,0,1
7077,23,donation-aim-pl,1,0
7078,23,donation-aim-pl,0,1
7078,23,donation-aim-pl,1,1
7079,23,donation-aim-pl,0,2
7079,23,donation-aim-pl,1,2
7081,23,donation-aim-pl,0,1
7081,23,donation-aim-pl,1,0
7082,23,donation-aim-pl,0,2
7082,23,donation-aim-pl,1,2
7083,23,donation-aim-pl,0,1
7083,23,donation-aim-pl,1,0
7084,23,donation-aim-pl,0,0
7084,23,donation-aim-pl,1,1
7085,23,donation-aim-pl,0,1
7085,23,donation-aim-pl,1,1
7087,23,donation-aim-pl,0,1
7087,23,donation-aim-pl,1,1
7088,23,donation-aim-pl,0,0
7088,23,donation-aim-pl,1,0
7089,23,donation-aim-pl,0,2
7089,23,donation-aim-pl,1,1
7090,23,donation-aim-pl,0,0
7090,23,donation-aim-pl,1,1
7091,23,donation-aim-pl,0,1
7091,23,donation-aim-pl,1,1
7093,23,donation-aim-pl,0,0
7093,23,donation-aim-pl,1,2
7094,23,donation-aim-pl,0,1
7094,23,donation-aim-pl,1,1
7095,23,donation-aim-pl,0,0
7095,23,donation-aim-pl,1,1
7096,23,donation-aim-pl,0,2
7096,23,donation-aim-pl,1,0
7097,23,donation-aim-pl,0,1
7097,23,donation-aim-pl,1,2
7098,23,donation-aim-pl,0,1
7098,23,donation-aim-pl,1,1
7100,23,donation-aim-pl,0,1
7100,23,donation-aim-pl,1,2
7101,23,donation-aim-pl,0,3
7102,23,donation-aim-pl,0,0
7102,23,donation-aim-pl,1,2
7103,23,donation-aim-pl,0,1
7103,23,donation-aim-pl,1,2
7105,23,donation-aim-pl,0,1
7105,23,donation-aim-pl,1,2
7106,23,donation-aim-pl,0,1
7106,23,donation-aim-pl,1,1
7107,23,donation-aim-pl,0,1
7107,23,donation-aim-pl,1,1
7108,23,donation-aim-pl,0,1
7108,23,donation-aim-pl,1,1
7109,23,donation-aim-pl,0,3
7110,23,donation-aim-pl,0,1
7110,23,donation-aim-pl,1,0
7111,23,donation-aim-pl,0,2
7111,23,donation-aim-pl,1,1
7112,23,donation-aim-pl,0,0
7112,23,donation-aim-pl,1,2
