 sid  | stid |   name    | ord | part | opt 
 7388 |   23 | rateus-pl |   0 |    4 |   9
 7388 |   23 | rateus-pl |   0 |    3 |  89
 7388 |   23 | rateus-pl |   0 |    2 |  93
 7388 |   23 | rateus-pl |   0 |    1 |  86
 7390 |   23 | rateus-pl |   2 |    4 |  53
 7390 |   23 | rateus-pl |   2 |    1 |   1
 7390 |   23 | rateus-pl |   2 |    2 |   0
 7390 |   23 | rateus-pl |   2 |    3 |   1
 7390 |   23 | rateus-pl |   2 |    0 |  50
 7391 |   23 | rateus-pl |   3 |    4 |  86
 7391 |   23 | rateus-pl |   3 |    1 |  44
 7391 |   23 | rateus-pl |   3 |    2 |   0
 7391 |   23 | rateus-pl |   3 |    3 |   0
 7391 |   23 | rateus-pl |   3 |    0 |  99
 7392 |   23 | rateus-pl |   2 |    4 |  99
 7392 |   23 | rateus-pl |   2 |    0 |  98
 7392 |   23 | rateus-pl |   2 |    1 |  99
 7392 |   23 | rateus-pl |   2 |    2 |   2
 7392 |   23 | rateus-pl |   2 |    3 |   2
 7393 |   23 | rateus-pl |   0 |    0 |  22
 7393 |   23 | rateus-pl |   0 |    4 |   2
 7393 |   23 | rateus-pl |   0 |    3 |  21
 7393 |   23 | rateus-pl |   0 |    2 |  49
 7393 |   23 | rateus-pl |   0 |    1 |  49
 7394 |   23 | rateus-pl |   0 |    0 |   9
 7394 |   23 | rateus-pl |   0 |    4 |   8
 7394 |   23 | rateus-pl |   0 |    3 |  30
 7394 |   23 | rateus-pl |   0 |    2 |  96
 7394 |   23 | rateus-pl |   0 |    1 |  81
 7395 |   23 | rateus-pl |   0 |    4 |  10
 7395 |   23 | rateus-pl |   0 |    3 |  47
 7395 |   23 | rateus-pl |   0 |    2 |  74
 7395 |   23 | rateus-pl |   0 |    1 |  76
 7395 |   23 | rateus-pl |   0 |    0 |  23
 7396 |   23 | rateus-pl |   3 |    4 |   1
 7396 |   23 | rateus-pl |   3 |    3 |  17
 7396 |   23 | rateus-pl |   3 |    2 |   1
 7396 |   23 | rateus-pl |   3 |    1 |  19
 7396 |   23 | rateus-pl |   3 |    0 |  50
 7397 |   23 | rateus-pl |   1 |    4 |  58
 7397 |   23 | rateus-pl |   1 |    0 |  80
 7397 |   23 | rateus-pl |   1 |    1 |  16
 7397 |   23 | rateus-pl |   1 |    2 |   4
 7397 |   23 | rateus-pl |   1 |    3 |   7
 7398 |   23 | rateus-pl |   3 |    1 |   9
 7398 |   23 | rateus-pl |   3 |    4 |  13
 7398 |   23 | rateus-pl |   3 |    3 |   9
 7398 |   23 | rateus-pl |   3 |    2 |   2
 7398 |   23 | rateus-pl |   3 |    0 |  50
 7399 |   23 | rateus-pl |   2 |    4 |  99
 7399 |   23 | rateus-pl |   2 |    0 |  99
 7399 |   23 | rateus-pl |   2 |    1 |  99
 7399 |   23 | rateus-pl |   2 |    2 |  99
 7399 |   23 | rateus-pl |   2 |    3 |  99
 7400 |   23 | rateus-pl |   1 |    4 |  12
 7400 |   23 | rateus-pl |   1 |    1 |  11
 7400 |   23 | rateus-pl |   1 |    2 |  55
 7400 |   23 | rateus-pl |   1 |    3 |  14
 7400 |   23 | rateus-pl |   1 |    0 |  49
 7401 |   23 | rateus-pl |   1 |    2 |  71
 7401 |   23 | rateus-pl |   1 |    0 |  70
 7401 |   23 | rateus-pl |   1 |    1 |  71
 7401 |   23 | rateus-pl |   1 |    3 |  71
 7401 |   23 | rateus-pl |   1 |    4 |  73
 7402 |   23 | rateus-pl |   1 |    0 |   3
 7402 |   23 | rateus-pl |   1 |    4 |  23
 7402 |   23 | rateus-pl |   1 |    3 |  98
 7402 |   23 | rateus-pl |   1 |    2 |  90
 7402 |   23 | rateus-pl |   1 |    1 |  91
 7403 |   23 | rateus-pl |   2 |    4 |  85
 7403 |   23 | rateus-pl |   2 |    0 |  98
 7403 |   23 | rateus-pl |   2 |    1 |  83
 7403 |   23 | rateus-pl |   2 |    2 |   0
 7403 |   23 | rateus-pl |   2 |    3 |   0
