 sid  |   code   | stid |   name    | ord |  val  
 6897 | swr8Wtz7 |   23 | demo-2-pl |   0 | 0
 6898 | swrAgPZv |   23 | demo-2-pl |   2 | 2004
 6898 | swrAgPZv |   23 | demo-2-pl |   0 | 0
 6898 | swrAgPZv |   23 | demo-2-pl |   3 | 0
 6898 | swrAgPZv |   23 | demo-2-pl |   4 | 4
 6898 | swrAgPZv |   23 | demo-2-pl |   6 | 1
 6898 | swrAgPZv |   23 | demo-2-pl |   7 | 1
 6898 | swrAgPZv |   23 | demo-2-pl |   8 | 0
 6898 | swrAgPZv |   23 | demo-2-pl |   9 | 4
 6899 | swrjU3oP |   23 | demo-2-pl |   0 | 0
 6899 | swrjU3oP |   23 | demo-2-pl |   9 | 5
 6899 | swrjU3oP |   23 | demo-2-pl |   8 | 0
 6899 | swrjU3oP |   23 | demo-2-pl |   7 | 0
 6899 | swrjU3oP |   23 | demo-2-pl |   6 | 0
 6899 | swrjU3oP |   23 | demo-2-pl |   4 | 4
 6899 | swrjU3oP |   23 | demo-2-pl |   3 | 3
 6899 | swrjU3oP |   23 | demo-2-pl |   2 | 1986
 6900 | swrG5GTC |   23 | demo-2-pl |   9 | 5
 6900 | swrG5GTC |   23 | demo-2-pl |   0 | 0
 6900 | swrG5GTC |   23 | demo-2-pl |   2 | 2003
 6900 | swrG5GTC |   23 | demo-2-pl |   3 | 2
 6900 | swrG5GTC |   23 | demo-2-pl |   4 | 4
 6900 | swrG5GTC |   23 | demo-2-pl |   6 | 1
 6900 | swrG5GTC |   23 | demo-2-pl |   7 | 1
 6900 | swrG5GTC |   23 | demo-2-pl |   8 | 0
 6902 | swrvrfUJ |   23 | demo-2-pl |   9 | 5
 6902 | swrvrfUJ |   23 | demo-2-pl |   0 | 1
 6902 | swrvrfUJ |   23 | demo-2-pl |   2 | 1979
 6902 | swrvrfUJ |   23 | demo-2-pl |   3 | 0
 6902 | swrvrfUJ |   23 | demo-2-pl |   4 | 6
 6902 | swrvrfUJ |   23 | demo-2-pl |   6 | 0
 6902 | swrvrfUJ |   23 | demo-2-pl |   7 | 2
 6902 | swrvrfUJ |   23 | demo-2-pl |   8 | 0
 6903 | swrT9VPE |   23 | demo-2-pl |   9 | 5
 6903 | swrT9VPE |   23 | demo-2-pl |   8 | 0
 6903 | swrT9VPE |   23 | demo-2-pl |   7 | 1
 6903 | swrT9VPE |   23 | demo-2-pl |   6 | 0
 6903 | swrT9VPE |   23 | demo-2-pl |   4 | 4
