   qid    | sid  | stid | category 
 2rXHVFpo | 7366 |   23 | other
 Sy2oRHsR | 7344 |   23 | HOP
 8vEs259K | 7181 |   23 | HOP
 AKEPwJy8 | 7166 |   23 | ANG
 527RZVap | 7327 |   23 | other
 W46Wq2n4 | 6955 |   23 | NEU
 gppHRV6T | 7819 |   23 | other
 piAjSgZx | 7636 |   23 | COM
 q4Kv2fre | 6980 |   23 | other
 M6iyortF | 6911 |   23 | other
 6GTNhR2R | 6996 |   23 | other
 CYoYsXJm | 6995 |   23 | HOP
 taCSZdRC | 7203 |   23 | other
 Lu3DMaD4 | 7573 |   23 | other
 nEeVwLJX | 7020 |   23 | other
 PJbSEcJw | 7654 |   23 | other
 NA3bzWAv | 7639 |   23 | HOP
 2VHTARY2 | 7234 |   23 | ANG
 QbFCaraH | 7044 |   23 | ANG
 iMteopTZ | 7144 |   23 | other
 o2KJaZcU | 7372 |   23 | ANG
 WZo4QLRH | 7452 |   23 | NEU
 PKVvN87W | 7185 |   23 | other
 zRK7An4d | 7701 |   23 | other
 t8fhJRdt | 7233 |   23 | HOP
 ACvzNYt8 | 7173 |   23 | other
 n6rPwgKT | 7507 |   23 | COM
 iMMobyei | 7355 |   23 | HOP
 KThwka6a | 7138 |   23 | NEU
 VJXQERZs | 7798 |   23 | COM
 TLMtJrMZ | 7137 |   23 | HOP
 wEMQxbwD | 7687 |   23 | ANG
 4MJTYi97 | 7503 |   23 | other
 69Ge6k3j | 7289 |   23 | other
 api7rNv6 | 7299 |   23 | COM
 GaJbRziz | 6925 |   23 | COM
 z5vQTZK9 | 7192 |   23 | NEU
 YLbiPYBA | 7674 |   23 | other
 2Wb8XFQu | 7092 |   23 | ANG
 LY2qFzF7 | 7010 |   23 | COM
 So6RhsTE | 7521 |   23 | ANG
 icPeVnh7 | 7176 |   23 | other
 chtv2eWW | 7045 |   23 | other
 Us529hnK | 7224 |   23 | other
 3Mmy4rem | 7269 |   23 | other
 CFL34Au5 | 7282 |   23 | other
 LsHquc6L | 7357 |   23 | other
 BZh79jZF | 7311 |   23 | other
 A2Wxnn22 | 7013 |   23 | ANG
 38zvbgXZ | 7616 |   23 | COM
 uTgvye9U | 7425 |   23 | other
 wQH95CJs | 7443 |   23 | HOP
 Fuh7mMJe | 7159 |   23 | COM
 ZiyLNm4j | 7098 |   23 | other
 UzdpMEi9 | 7221 |   23 | other
 U8aktcyv | 7315 |   23 | other
 mgfLkCUY | 7197 |   23 | other
 iQ5aKcmb | 7223 |   23 | other
 ZifMc4JW | 6930 |   23 | ANG
 TyPcuSsZ | 7741 |   23 | ANG
 XUPMtKk8 | 7660 |   23 | NEU
 xzK4RTow | 7328 |   23 | ANG
 MqY6Jzry | 7171 |   23 | other
 98ac3CX6 | 7439 |   23 | COM
 jawpZM7R | 7621 |   23 | NEU
 vrhqFGT7 | 7316 |   23 | NEU
 mvPFvRzE | 6922 |   23 | other
 AFXYtrNA | 7061 |   23 | other
 5LyU9tks | 7781 |   23 | other
 poPvXviP | 7703 |   23 | COM
 anVcPMce | 7688 |   23 | other
 dV3ixRD6 | 7139 |   23 | other
 oGRcnDUX | 7031 |   23 | other
 mUgnxwFq | 7824 |   23 | NEU
 b6GW2HDC | 6931 |   23 | COM
 r9GZt2NL | 7514 |   23 | HOP
 BYdSqNC4 | 7323 |   23 | HOP
 mQzS7fV7 | 6960 |   23 | COM
 qb98eUu9 | 7413 |   23 | HOP
 pLh4trLw | 7550 |   23 | ANG
 55F5Ti2o | 7214 |   23 | other
 hGVCU6sC | 7170 |   23 | NEU
 PxEWZu4F | 6974 |   23 | COM
