 sid  | stid | category | ord | mh | fh 
 7481 |   23 | ANG      |   1 |  0 |  0
 7295 |   23 | ANG      |   4 |  0 |  0
 7425 |   23 | ANG      |   3 |  0 |  0
 7434 |   23 | ANG      |   8 |  0 |  0
 7481 |   23 | ANG      |   0 |  1 |  0
 6889 |   23 | ANG      |  10 |  0 |  0
 6889 |   23 | ANG      |  11 |  0 |  0
 6889 |   23 | ANG      |  12 |  0 |  0
 6889 |   23 | ANG      |  13 |  1 |  1
 6889 |   23 | ANG      |  14 |  0 |  0
 7317 |   23 | ANG      |  14 |  0 |  0
 7001 |   23 | ANG      |  10 |  0 |  0
 7727 |   23 | ANG      |   1 |  2 |  0
 7727 |   23 | ANG      |   0 |  0 |  0
 7494 |   23 | ANG      |  13 |  0 |  0
 7425 |   23 | ANG      |   4 |  0 |  0
 7434 |   23 | ANG      |   7 |  0 |  0
 7295 |   23 | ANG      |  11 |  0 |  0
 7425 |   23 | ANG      |   5 |  0 |  0
 7425 |   23 | ANG      |   6 |  0 |  0
 7606 |   23 | ANG      |   0 |  0 |  0
 7295 |   23 | ANG      |  14 |  0 |  0
 7001 |   23 | ANG      |   0 |  1 |  0
 7425 |   23 | ANG      |   7 |  0 |  0
 7366 |   23 | ANG      |   0 |  1 |  0
 6997 |   23 | ANG      |   0 |  0 |  0
 7001 |   23 | ANG      |   1 |  0 |  0
 7502 |   23 | ANG      |  14 |  0 |  0
 7425 |   23 | ANG      |   8 |  0 |  0
 7321 |   23 | ANG      |   3 |  1 |  0
 7425 |   23 | ANG      |   9 |  0 |  0
 7602 |   23 | ANG      |   2 |  0 |  0
 7602 |   23 | ANG      |   1 |  0 |  0
 7602 |   23 | ANG      |   0 |  1 |  0
 7001 |   23 | ANG      |  11 |  0 |  0
 7122 |   23 | ANG      |   0 |  0 |  0
 7122 |   23 | ANG      |   1 |  0 |  0
 7122 |   23 | ANG      |   2 |  0 |  0
 7122 |   23 | ANG      |   3 |  0 |  0
 7001 |   23 | ANG      |  12 |  0 |  0
 7029 |   23 | ANG      |   0 |  0 |  0
 7425 |   23 | ANG      |  10 |  0 |  0
 7434 |   23 | ANG      |   6 |  0 |  0
 7425 |   23 | ANG      |  11 |  0 |  0
 7425 |   23 | ANG      |  12 |  0 |  0
 7435 |   23 | ANG      |   0 |  1 |  0
 7434 |   23 | ANG      |   1 |  2 |  0
 7425 |   23 | ANG      |  13 |  0 |  0
 7435 |   23 | ANG      |   1 |  1 |  0
 7435 |   23 | ANG      |   4 |  1 |  0
 7436 |   23 | ANG      |   0 |  0 |  1
 7425 |   23 | ANG      |  14 |  0 |  0
 7435 |   23 | ANG      |   2 |  0 |  0
 7436 |   23 | ANG      |   2 |  0 |  1
 7436 |   23 | ANG      |   1 |  0 |  3
 7435 |   23 | ANG      |   3 |  0 |  0
 7434 |   23 | ANG      |   0 |  0 |  0
 7494 |   23 | ANG      |   2 |  0 |  0
 7029 |   23 | ANG      |   1 |  0 |  0
 7017 |   23 | ANG      |   0 |  1 |  0
 7029 |   23 | ANG      |   2 |  0 |  0
 7295 |   23 | ANG      |  10 |  0 |  0
 7029 |   23 | ANG      |   3 |  2 |  0
 7001 |   23 | ANG      |  13 |  0 |  0
 7017 |   23 | ANG      |   1 |  0 |  0
 7312 |   23 | ANG      |   0 |  0 |  0
 7295 |   23 | ANG      |   3 |  1 |  0
 7001 |   23 | ANG      |   2 |  0 |  0
 7312 |   23 | ANG      |   1 |  0 |  0
 7596 |   23 | ANG      |   3 |  0 |  1
 7596 |   23 | ANG      |   2 |  1 |  0
 7596 |   23 | ANG      |   1 |  0 |  0
 7596 |   23 | ANG      |   0 |  0 |  0
 7588 |   23 | ANG      |   9 |  0 |  0
 7588 |   23 | ANG      |   8 |  0 |  0
 7588 |   23 | ANG      |   7 |  0 |  0
 7128 |   23 | ANG      |   0 |  0 |  0
 7128 |   23 | ANG      |   1 |  0 |  0
 7128 |   23 | ANG      |   2 |  0 |  0
 7128 |   23 | ANG      |   3 |  1 |  0
 7128 |   23 | ANG      |   4 |  2 |  0
 7128 |   23 | ANG      |   5 |  1 |  0
 6914 |   23 | ANG      |   2 |  0 |  0
 7128 |   23 | ANG      |   6 |  1 |  0
 7311 |   23 | ANG      |   0 |  0 |  0
 7001 |   23 | ANG      |  14 |  0 |  0
 7128 |   23 | ANG      |   7 |  0 |  0
 7128 |   23 | ANG      |   8 |  1 |  0
 7295 |   23 | ANG      |   7 |  0 |  0
 7001 |   23 | ANG      |   3 |  1 |  0
 7312 |   23 | ANG      |   2 |  0 |  0
 7131 |   23 | ANG      |   0 |  0 |  0
 7131 |   23 | ANG      |   1 |  0 |  0
 7131 |   23 | ANG      |   2 |  0 |  0
 7131 |   23 | ANG      |   3 |  0 |  0
 7131 |   23 | ANG      |   4 |  0 |  0
 7131 |   23 | ANG      |   5 |  0 |  0
 7131 |   23 | ANG      |   6 |  0 |  0
 7131 |   23 | ANG      |   7 |  0 |  0
 7131 |   23 | ANG      |   8 |  0 |  0
 7131 |   23 | ANG      |   9 |  0 |  0
 7131 |   23 | ANG      |  10 |  0 |  0
 7131 |   23 | ANG      |  11 |  0 |  0
 7131 |   23 | ANG      |  12 |  0 |  0
 7131 |   23 | ANG      |  13 |  0 |  0
 7131 |   23 | ANG      |  14 |  0 |  0
 7311 |   23 | ANG      |   1 |  1 |  0
 7678 |   23 | ANG      |   3 |  2 |  0
 7678 |   23 | ANG      |   2 |  0 |  1
 7678 |   23 | ANG      |   1 |  0 |  0
 7678 |   23 | ANG      |   0 |  0 |  0
 7308 |   23 | ANG      |   0 |  1 |  0
 7001 |   23 | ANG      |   4 |  0 |  0
 7035 |   23 | ANG      |   0 |  0 |  0
 7035 |   23 | ANG      |   1 |  0 |  0
 7035 |   23 | ANG      |   2 |  0 |  0
 7035 |   23 | ANG      |   3 |  0 |  0
 7035 |   23 | ANG      |   4 |  0 |  0
 7035 |   23 | ANG      |   5 |  0 |  0
 7035 |   23 | ANG      |   6 |  0 |  0
 7035 |   23 | ANG      |   7 |  0 |  0
 7035 |   23 | ANG      |   8 |  1 |  0
 6965 |   23 | ANG      |   0 |  0 |  0
 6965 |   23 | ANG      |   1 |  0 |  0
 6965 |   23 | ANG      |   2 |  0 |  0
 6964 |   23 | ANG      |   0 |  2 |  0
 6964 |   23 | ANG      |   1 |  1 |  0
 6964 |   23 | ANG      |   2 |  0 |  0
 6964 |   23 | ANG      |   3 |  0 |  0
 7135 |   23 | ANG      |   0 |  4 |  0
 7135 |   23 | ANG      |   1 |  4 |  0
 7135 |   23 | ANG      |   2 |  2 |  1
 7135 |   23 | ANG      |   3 |  5 |  0
 7135 |   23 | ANG      |   4 |  1 |  0
 7135 |   23 | ANG      |   5 |  2 |  0
 7135 |   23 | ANG      |   6 |  4 |  0
 7135 |   23 | ANG      |   7 |  2 |  0
 7135 |   23 | ANG      |   8 |  4 |  0
 7135 |   23 | ANG      |   9 |  4 |  0
 7135 |   23 | ANG      |  10 |  5 |  0
 7135 |   23 | ANG      |  11 |  1 |  0
 7135 |   23 | ANG      |  12 |  2 |  0
 7135 |   23 | ANG      |  13 |  2 |  0
 7135 |   23 | ANG      |  14 |  4 |  0
 7035 |   23 | ANG      |   9 |  0 |  0
 7312 |   23 | ANG      |   3 |  0 |  0
 7493 |   23 | ANG      |   5 |  1 |  0
 7493 |   23 | ANG      |   4 |  0 |  0
 6964 |   23 | ANG      |   4 |  0 |  0
 6964 |   23 | ANG      |   5 |  0 |  0
 7494 |   23 | ANG      |  12 |  0 |  0
 7001 |   23 | ANG      |   5 |  0 |  0
 7588 |   23 | ANG      |   6 |  0 |  0
 7588 |   23 | ANG      |   5 |  0 |  0
 7005 |   23 | ANG      |   0 |  0 |  0
 7345 |   23 | ANG      |   0 |  0 |  0
 7005 |   23 | ANG      |   1 |  4 |  0
 7345 |   23 | ANG      |   1 |  0 |  0
 7643 |   23 | ANG      |   3 |  0 |  0
 7643 |   23 | ANG      |   2 |  0 |  0
 6964 |   23 | ANG      |   6 |  0 |  0
 6964 |   23 | ANG      |   7 |  1 |  0
 7040 |   23 | ANG      |   0 |  1 |  0
 6964 |   23 | ANG      |   8 |  0 |  0
 7588 |   23 | ANG      |   4 |  0 |  0
 7040 |   23 | ANG      |   1 |  1 |  0
 7588 |   23 | ANG      |   3 |  0 |  0
 6964 |   23 | ANG      |   9 |  0 |  0
 7588 |   23 | ANG      |   2 |  0 |  0
 7040 |   23 | ANG      |   2 |  0 |  0
 7588 |   23 | ANG      |   1 |  0 |  0
 7040 |   23 | ANG      |   3 |  1 |  0
 6964 |   23 | ANG      |  10 |  0 |  0
 7588 |   23 | ANG      |   0 |  0 |  0
 7040 |   23 | ANG      |   4 |  1 |  0
 7586 |   23 | ANG      |   3 |  1 |  0
 7586 |   23 | ANG      |   2 |  1 |  0
 7586 |   23 | ANG      |   1 |  1 |  0
 7586 |   23 | ANG      |   0 |  7 |  0
 7040 |   23 | ANG      |   5 |  0 |  0
